representation_id,role_id,anchor_year,method_id,incumbent_share,incumbent_basis,notes
make_crude_steel__pathway_bundle,make_crude_steel,2025,steel__crude_steel__bf_bof_conventional,1.0,default_pathway_method,Pathway representation anchors to the conventional BF-BOF method.
make_non_h2_dri_crude_steel__pathway_bundle,make_non_h2_dri_crude_steel,2025,steel__crude_steel_non_h2__bf_bof_conventional,1.0,default_pathway_method,Child pathway representation anchors to the conventional BF-BOF method.
make_direct_reduced_iron__technology_bundle,make_direct_reduced_iron,2025,steel__dri__h2_shaft_furnace,1.0,technology_incumbent_mix,Technology representation anchors to a single-method initial mix until calibration authors a richer split.
melt_and_refine_dri_into_crude_steel__technology_bundle,melt_and_refine_dri_into_crude_steel,2025,steel__dri_melt_refine__eaf_finishing,1.0,technology_incumbent_mix,Technology representation anchors to a single-method initial mix until calibration authors a richer split.
make_cement_equivalent__pathway_bundle,make_cement_equivalent,2025,cement_clinker__cement_equivalent__conventional,1.0,default_pathway_method,Pathway representation anchors to the conventional cement method.
make_chemical_products__pathway_bundle,make_chemical_products,2025,chemical_products__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
make_other_material_products__pathway_bundle,make_other_material_products,2025,other_material_products__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
supply_grid_electricity__pathway_bundle,supply_grid_electricity,2025,electricity__grid_supply__incumbent_thermal_mix,1.0,default_pathway_method,Pathway representation anchors to the incumbent thermal-heavy grid mix.
account_grid_losses_and_own_use__pathway_bundle,account_grid_losses_and_own_use,2025,electricity_grid_losses_own_use__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
account_residual_mining_energy__pathway_bundle,account_residual_mining_energy,2025,mining_other__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
account_energy_system_fugitive_emissions__pathway_bundle,account_energy_system_fugitive_emissions,2025,residual_fugitives__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
raise_livestock_output__pathway_bundle,raise_livestock_output,2025,agriculture__livestock__conventional,1.0,default_pathway_method,Pathway representation anchors to the conventional livestock method.
grow_crops_and_horticulture_output__pathway_bundle,grow_crops_and_horticulture_output,2025,agriculture__cropping_horticulture__conventional,1.0,default_pathway_method,Pathway representation anchors to the conventional cropping and horticulture method.
account_livestock_biogenic_emissions__pathway_bundle,account_livestock_biogenic_emissions,2025,livestock_biogenic_emissions__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
account_soil_fertiliser_residue_emissions__pathway_bundle,account_soil_fertiliser_residue_emissions,2025,soil_fertiliser_residue_emissions__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
construct_buildings_and_infrastructure__pathway_bundle,construct_buildings_and_infrastructure,2025,construction_other__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
provide_water_and_wastewater_services__pathway_bundle,provide_water_and_wastewater_services,2025,water_waste_other__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
treat_and_dispose_solid_waste__pathway_bundle,treat_and_dispose_solid_waste,2025,residual_waste__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
operate_remaining_domestic_activity__pathway_bundle,operate_remaining_domestic_activity,2025,other_other__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
remove_co2_through_land_sequestration__pathway_bundle,remove_co2_through_land_sequestration,2025,removals_negative_emissions__land_sequestration__biological_sink,1.0,default_pathway_method,Pathway representation anchors to the land sequestration method.
remove_co2_through_engineered_removals__pathway_bundle,remove_co2_through_engineered_removals,2025,removals_negative_emissions__engineered_removals__daccs,1.0,default_pathway_method,Pathway representation anchors to the DACCS placeholder method.
account_land_carbon_stock_change__pathway_bundle,account_land_carbon_stock_change,2025,residual_lulucf_sink__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
supply_domestic_gas__pathway_bundle,supply_domestic_gas,2025,domestic_gas_supply__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
supply_domestic_liquid_fuels__pathway_bundle,supply_domestic_liquid_fuels,2025,domestic_liquid_fuel_supply__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
supply_domestic_solid_fuels__pathway_bundle,supply_domestic_solid_fuels,2025,domestic_solid_fuel_supply__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
supply_domestic_bioenergy__pathway_bundle,supply_domestic_bioenergy,2025,domestic_bioenergy_supply__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
supply_domestic_hydrogen__pathway_bundle,supply_domestic_hydrogen,2025,domestic_hydrogen_supply__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
supply_domestic_derived_fuels__pathway_bundle,supply_domestic_derived_fuels,2025,domestic_derived_fuel_supply__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
supply_thermal_coal_to_export_gate__pathway_bundle,supply_thermal_coal_to_export_gate,2025,export_thermal_coal_supply__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
supply_metallurgical_coal_to_export_gate__pathway_bundle,supply_metallurgical_coal_to_export_gate,2025,export_metallurgical_coal_supply__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
supply_iron_ore_to_export_gate__pathway_bundle,supply_iron_ore_to_export_gate,2025,export_iron_ore_supply__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
make_clinker_intermediate__pathway_bundle,make_clinker_intermediate,2025,cement__clinker__conventional,1,default_pathway_method,Incumbent child method selected for the decomposed cement pilot.
generate_cement_kiln_heat__pathway_bundle,generate_cement_kiln_heat,2025,cement__kiln_heat__mixed_fossil,1,default_pathway_method,Incumbent child method selected for the decomposed cement pilot.
grind_blend_cement_equivalent__pathway_bundle,grind_blend_cement_equivalent,2025,cement__finish__ordinary_blend,1,default_pathway_method,Incumbent child method selected for the decomposed cement pilot.
