representation_id,role_id,representation_kind,representation_label,description,is_default,notes
make_chemical_products__pathway_bundle,make_chemical_products,residual_stub,chemical products residual bundle,Direct residual bundle for chemical and petrochemical transformation activity,true,Minimum viable residual representation pending explicit chemical and petrochemical transformation pathways.
make_other_material_products__pathway_bundle,make_other_material_products,residual_stub,other material products residual bundle,Direct residual bundle for other material transformation activity,true,Minimum viable residual representation pending explicit other material transformation pathways.
supply_grid_electricity__pathway_bundle,supply_grid_electricity,pathway_bundle,Electricity supply pathway bundle,Direct pathway bundle for delivered grid electricity,true,Initial default representation migrated from current package coverage.
account_grid_losses_and_own_use__pathway_bundle,account_grid_losses_and_own_use,residual_stub,Electricity losses and own use pathway bundle,Direct residual bundle for grid losses and own use,true,Initial default representation migrated from current residual coverage.
account_residual_mining_energy__pathway_bundle,account_residual_mining_energy,residual_stub,Residual mining energy pathway bundle,Direct residual bundle for mining and energy extraction activity,true,Initial default representation migrated from current residual coverage.
account_energy_system_fugitive_emissions__pathway_bundle,account_energy_system_fugitive_emissions,residual_stub,Residual fugitives pathway bundle,Direct residual bundle for fugitive emissions,true,Initial default representation migrated from current residual coverage.
raise_livestock_output__pathway_bundle,raise_livestock_output,pathway_bundle,Livestock output pathway bundle,Direct pathway bundle for livestock output,true,Initial default representation migrated from current package coverage.
grow_crops_and_horticulture_output__pathway_bundle,grow_crops_and_horticulture_output,pathway_bundle,Cropping and horticulture output pathway bundle,Direct pathway bundle for cropping and horticulture output,true,Initial default representation migrated from current package coverage.
account_livestock_biogenic_emissions__pathway_bundle,account_livestock_biogenic_emissions,residual_stub,Livestock biogenic emissions residual bundle,Direct residual bundle for livestock biogenic emissions,true,Minimum viable residual representation pending explicit livestock biogenic emissions modules.
account_soil_fertiliser_residue_emissions__pathway_bundle,account_soil_fertiliser_residue_emissions,residual_stub,Soil fertiliser and residue emissions residual bundle,Direct residual bundle for soil fertiliser and residue emissions,true,Minimum viable residual representation pending explicit soil fertiliser and residue emissions modules.
construct_buildings_and_infrastructure__pathway_bundle,construct_buildings_and_infrastructure,residual_stub,Residual construction pathway bundle,Direct residual bundle for construction activity,true,Initial default representation migrated from current residual coverage.
provide_water_and_wastewater_services__pathway_bundle,provide_water_and_wastewater_services,residual_stub,Water services residual bundle,Direct residual bundle for water sector final energy,true,Initial default representation migrated from current residual coverage.
treat_and_dispose_solid_waste__pathway_bundle,treat_and_dispose_solid_waste,residual_stub,Waste emissions residual bundle,Direct residual bundle for waste emissions,true,Initial default representation migrated from current residual coverage.
operate_remaining_domestic_activity__pathway_bundle,operate_remaining_domestic_activity,residual_stub,Residual other sectors pathway bundle,Direct residual bundle for remaining activity,true,Initial default representation migrated from current residual coverage.
remove_co2_through_land_sequestration__pathway_bundle,remove_co2_through_land_sequestration,pathway_bundle,Land sequestration pathway bundle,Direct pathway bundle for land based carbon removal,true,Initial default representation migrated from current package coverage.
remove_co2_through_engineered_removals__pathway_bundle,remove_co2_through_engineered_removals,pathway_bundle,Engineered removals pathway bundle,Direct pathway bundle for engineered carbon removal,true,Initial default representation migrated from current package coverage.
account_land_carbon_stock_change__pathway_bundle,account_land_carbon_stock_change,residual_stub,Land carbon stock change residual bundle,Direct residual bundle for land carbon stock change,true,Minimum viable residual representation pending explicit land carbon stock change modules.
supply_domestic_gas__pathway_bundle,supply_domestic_gas,residual_stub,Domestic gas supply residual bundle,Direct residual bundle for supply domestic gas.,true,Minimum viable residual representation pending explicit carrier supply pathways.
supply_domestic_liquid_fuels__pathway_bundle,supply_domestic_liquid_fuels,residual_stub,Domestic liquid fuel supply residual bundle,Direct residual bundle for supply domestic liquid fuels.,true,Minimum viable residual representation pending explicit carrier supply pathways.
supply_domestic_solid_fuels__pathway_bundle,supply_domestic_solid_fuels,residual_stub,Domestic solid fuel supply residual bundle,Direct residual bundle for supply domestic solid fuels.,true,Minimum viable residual representation pending explicit carrier supply pathways.
supply_domestic_bioenergy__pathway_bundle,supply_domestic_bioenergy,residual_stub,Domestic bioenergy supply residual bundle,Direct residual bundle for supply domestic bioenergy.,true,Minimum viable residual representation pending explicit carrier supply pathways.
supply_domestic_hydrogen__pathway_bundle,supply_domestic_hydrogen,residual_stub,Domestic hydrogen supply residual bundle,Direct residual bundle for supply domestic hydrogen.,true,Minimum viable residual representation pending explicit carrier supply pathways.
supply_domestic_derived_fuels__pathway_bundle,supply_domestic_derived_fuels,residual_stub,Domestic derived fuel supply residual bundle,Direct residual bundle for supply domestic derived fuels.,true,Minimum viable residual representation pending explicit carrier supply pathways.
supply_thermal_coal_to_export_gate__pathway_bundle,supply_thermal_coal_to_export_gate,residual_stub,Export thermal coal supply residual bundle,Direct residual bundle for supply thermal coal to export gate.,true,Minimum viable residual representation pending explicit export coal supply pathways.
supply_metallurgical_coal_to_export_gate__pathway_bundle,supply_metallurgical_coal_to_export_gate,residual_stub,Export metallurgical coal supply residual bundle,Direct residual bundle for supply metallurgical coal to export gate.,true,Minimum viable residual representation pending explicit export coal supply pathways.
supply_iron_ore_to_export_gate__pathway_bundle,supply_iron_ore_to_export_gate,residual_stub,Export iron ore supply residual bundle,Direct residual bundle for supply iron ore to export gate.,true,Minimum viable residual representation pending explicit export iron ore supply pathways.
capture_point_source_co2__pathway_bundle,capture_point_source_co2,pathway_bundle,Capture point-source CO2 pathway bundle,Direct placeholder bundle for capture point-source co2.,true,Minimum viable low-confidence carbon-management placeholder representation.
transport_captured_co2__pathway_bundle,transport_captured_co2,pathway_bundle,Transport captured CO2 pathway bundle,Direct placeholder bundle for transport captured co2.,true,Minimum viable low-confidence carbon-management placeholder representation.
store_captured_co2__pathway_bundle,store_captured_co2,pathway_bundle,Store captured CO2 pathway bundle,Direct placeholder bundle for store captured co2.,true,Minimum viable low-confidence carbon-management placeholder representation.
make_cement_equivalent__clinker_decomposition,make_cement_equivalent,role_decomposition,Cement clinker decomposition,Optional decomposition that exposes clinker production host-specific kiln heat and final grinding or blending child roles.,false,Parent direct pathway methods are inactive when this decomposition is selected.
make_clinker_intermediate__pathway_bundle,make_clinker_intermediate,pathway_bundle,Make clinker intermediate pathway bundle,Direct pathway bundle for make clinker intermediate.,true,Default child representation for the cement decomposition example.
generate_cement_kiln_heat__pathway_bundle,generate_cement_kiln_heat,pathway_bundle,Generate cement kiln heat pathway bundle,Direct pathway bundle for generate cement kiln heat.,true,Default child representation for the cement decomposition example.
grind_blend_cement_equivalent__pathway_bundle,grind_blend_cement_equivalent,pathway_bundle,Grind and blend cement equivalent pathway bundle,Direct pathway bundle for grind and blend cement equivalent.,true,Default child representation for the cement decomposition example.
